Index,AD1_TactileRaw(16bit),AD1_VGNDRaw(16bit),AD2_TactileRaw(16bit),AD2_VGNDRaw(16bit),AD3_TactileRaw(16bit),AD3_VGNDRaw(16bit),AD4_TactileRaw(16bit),AD4_VGNDRaw(16bit),AD5_TactileRaw(16bit),AD5_VGNDRaw(16bit),AD6_TactileRaw(16bit),AD6_VGNDRaw(16bit),AD7_TactileRaw(16bit),AD7_VGNDRaw(16bit),AD8_TactileRaw(16bit),AD8_VGNDRaw(16bit)
153,28516,12017,28532,12019,28627,12016,28565,12006,28528,12000,28521,12004,28531,11918,28544,12021
154,29697,12027,29708,12035,29634,12031,29690,12018,29719,12012,29692,12020,29702,11932,29721,12034
155,28215,12029,28233,12031,28344,12026,28273,12018,28230,12010,28226,12013,28234,11927,28244,12030
156,30059,12028,30068,12036,29976,12032,30041,12023,30081,12013,30049,12025,30060,11935,30080,12039
157,28107,12030,28126,12036,28245,12031,28166,12021,28123,12012,28118,12018,28124,11930,28141,12036
158,30145,12027,30154,12031,30064,12030,30128,12021,30165,12012,30135,12019,30147,11929,30163,12034
159,28093,12024,28108,12028,28209,12025,28142,12014,28105,12009,28100,12013,28106,11927,28123,12032
160,28379,12025,28395,12033,28448,12026,28415,12015,28397,12009,28385,12013,28393,11928,28410,12033
161,29635,12026,29644,12034,29640,12028,29648,12018,29652,12010,29632,12017,29642,11929,29658,12034
162,28456,12027,28471,12030,28511,12026,28486,12017,28473,12009,28461,12019,28467,11931,28485,12035
163,29702,12031,29715,12034,29699,12031,29714,12020,29718,12013,29699,12022,29708,11932,29727,12038
164,28539,12032,28551,12037,28584,12033,28563,12021,28553,12013,28540,12019,28545,11931,28564,12037
165,29387,12027,29398,12031,29419,12029,29407,12017,29406,12009,29388,12016,29395,11929,29412,12032
