Time(ms),TactileRaw(16bit),GroundRef(16bit)
4465.00,-5535,1
4470.00,-5538,2
4475.00,-5532,3
4480.00,-5543,2
4485.00,-5532,1
4490.00,-5535,4
4495.00,-5526,4
4500.00,-5536,2
4505.00,-5535,5
4510.00,-5531,0
4515.00,-5533,2
4520.00,-5528,2
4525.00,-5534,4
4530.00,-5543,2
4535.00,-5540,3
4540.00,-5542,5
4545.00,-5530,4
4550.00,-5536,4
4555.00,-5543,2
4560.00,-5539,3
4565.00,-5536,2
4570.00,-5537,3
4575.00,-5538,2
4580.00,-5545,2
4585.00,-5547,3
4590.00,-5549,2
4595.00,-5539,3
4600.00,-5540,4
4605.00,-5535,2
4610.00,-5539,2
4615.00,-5534,4
4620.00,-5537,2
4625.00,-5539,2
4630.00,-5538,0
4635.00,-5532,4
4640.00,-5531,3
4645.00,-5528,2
4650.00,-5541,1
4655.00,-5534,2
4660.00,-5532,3
4665.00,-5540,4
4670.00,-5545,4
4675.00,-5538,2
4680.00,-5538,4
4685.00,-5534,5
4690.00,-5541,3
4695.00,-5536,4
4700.00,-5537,2
4705.00,-5539,2
4710.00,-5541,2
4715.00,-5537,3
4720.00,-5537,5
4725.00,-5537,5
4730.00,-5532,4
4735.00,-5538,2
4740.00,-5537,3
4745.00,-5528,3
4750.00,-5530,2
4755.00,-5529,2
4760.00,-5535,4
4765.00,-5543,2
4770.00,-5535,1
4775.00,-5537,2
4780.00,-5530,2
4785.00,-5525,3
4790.00,-5530,2
4795.00,-5525,2
4800.00,-5532,4
4805.00,-5531,2
4810.00,-5534,2
4815.00,-5534,5
4820.00,-5531,3
4825.00,-5533,0
4830.00,-5542,1
4835.00,-5530,3
4840.00,-5530,4
4845.00,-5527,3
4850.00,-5540,3
4855.00,-5531,3
4860.00,-5532,3
4865.00,-5531,2
4870.00,-5522,2
4875.00,-5535,3
4880.00,-5542,1
4885.00,-5541,2
4890.00,-5532,2
4895.00,-5536,5
4900.00,-5534,0
4905.00,-5541,5
4910.00,-5534,3
4915.00,-5540,3
4920.00,-5535,3
4925.00,-5546,3
4930.00,-5541,4
4935.00,-5537,2
4940.00,-5531,2
4945.00,-5538,1
4950.00,-5534,2
4955.00,-5534,2
4960.00,-5543,2
4965.00,-5548,2
4970.00,-5533,2
4975.00,-5537,2
4980.00,-5531,4
4985.00,-5540,1
4990.00,-5537,3
4995.00,-5538,2
5000.00,-5537,4
5005.00,-5538,2
5010.00,-5534,2
5015.00,-5547,1
5020.00,-5543,3
5025.00,-5540,4
5030.00,-5539,4
5035.00,-5546,2
5040.00,-5543,3
5045.00,-5537,1
5050.00,-5541,2
5055.00,-5542,2
5060.00,-5544,2
5065.00,-5537,2
5070.00,-5535,4
5075.00,-5543,4
5080.00,-5540,2
5085.00,-5543,2
5090.00,-5542,2
5095.00,-5534,0
5100.00,-5540,3
5105.00,-5537,1
5110.00,-5545,2
5115.00,-5543,2
5120.00,-5543,2
5125.00,-5537,3
5130.00,-5535,5
5135.00,-5545,2
5140.00,-5540,3
5145.00,-5532,4
5150.00,-5545,3
5155.00,-5531,0
5160.00,-5542,2
5165.00,-5536,4
5170.00,-5540,2
5175.00,-5535,2
5180.00,-5535,2
5185.00,-5536,1
5190.00,-5531,3
5195.00,-5533,2
5200.00,-5541,2
5205.00,-5540,2
5210.00,-5545,2
5215.00,-5545,2
5220.00,-5534,2
5225.00,-5543,2
5230.00,-5534,2
5235.00,-5535,2
5240.00,-5534,2
5245.00,-5537,2
5250.00,-5534,2
5255.00,-5530,4
5260.00,-5535,4
5265.00,-5533,2
5270.00,-5537,3
5275.00,-5530,5
5280.00,-5524,3
5285.00,-5530,1
5290.00,-5528,2
5295.00,-5529,2
5300.00,-5525,4
5305.00,-5531,2
5310.00,-5532,4
5315.00,-5534,2
5320.00,-5525,2
5325.00,-5549,0
5330.00,-5552,3
5335.00,-5552,4
5340.00,-5552,2
5345.00,-5549,1
5350.00,-5544,2
5355.00,-5545,2
5360.00,-5552,2
5365.00,-5543,2
5370.00,-5543,2
5375.00,-5558,5
5380.00,-5546,1
5385.00,-5540,4
5390.00,-5545,4
5395.00,-5551,2
5400.00,-5544,2
5405.00,-5540,2
5410.00,-5541,2
5415.00,-5539,3
5420.00,-5548,3
5425.00,-5543,1
5430.00,-5545,5
5435.00,-5541,1
5440.00,-5549,2
5445.00,-5544,2
5450.00,-5547,2
5455.00,-5543,2
5460.00,-5543,2
5465.00,-5545,2
5470.00,-5540,3
5475.00,-5546,1
5480.00,-5540,2
5485.00,-5535,2
5490.00,-5543,2
5495.00,-5546,3
5500.00,-5546,3
5505.00,-5544,2
5510.00,-5548,2
5515.00,-5553,2
5520.00,-5544,4
5525.00,-5540,2
5530.00,-5546,2
5535.00,-5552,3
5540.00,-5538,2
5545.00,-5537,4
5550.00,-5554,2
5555.00,-5549,4
5560.00,-5540,3
5565.00,-5538,2
5570.00,-5541,1
5575.00,-5549,2
5580.00,-5541,5
5585.00,-5541,4
5590.00,-5543,4
5595.00,-5538,2
5600.00,-5536,2
5605.00,-5542,2
5610.00,-5539,2
5615.00,-5539,2
5620.00,-5542,2
5625.00,-5539,2
5630.00,-5545,4
5635.00,-5552,3
5640.00,-5547,2
5645.00,-5539,2
5650.00,-5540,2
5655.00,-5538,3
5660.00,-5538,2
5665.00,-5544,0
5670.00,-5538,2
5675.00,-5541,4
