Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
9890,-9,6,2,-2,-4,1,-12,7,-3,-2,-5,0,-10,8,2,0,-5,-1,-12,6,3,0,-6,1,-8,9,2,0,-3,-2,-8,8,0,-1,-4,-1,-2
9891,-8,9,0,1,-3,1,-13,7,-5,0,-4,1,-7,7,-1,0,-5,1,-9,9,-1,-1,-4,-1,-7,9,0,0,-4,2,-10,8,0,0,-4,1,-2
9892,-10,6,3,0,-5,1,-12,6,-6,0,-4,-1,-8,8,1,0,-4,1,-8,8,0,0,-5,0,-7,6,0,-1,-6,0,-8,6,2,-2,-5,1,-2
9893,-11,6,1,0,-3,1,-14,7,-3,1,-5,1,-10,6,1,-1,-5,-1,-10,6,1,0,-4,0,-8,7,0,1,-6,-1,-8,9,2,-4,-4,-1,-2
9894,-10,8,0,0,-5,-2,-10,5,-6,-2,-5,2,-9,7,0,-1,-3,-1,-10,6,2,-1,-3,0,-9,9,1,0,-3,1,-8,5,1,1,-3,1,0
9895,-9,7,3,0,-3,-1,-11,6,-3,0,-3,1,-7,8,-1,1,-4,1,-8,10,0,-1,-4,-1,-10,8,2,-2,-2,4,-9,7,2,-1,-4,2,1
9896,-9,7,0,-1,-6,2,-12,7,-2,-1,-3,1,-7,8,0,-2,-6,0,-8,9,0,-2,-4,1,-8,6,-1,1,-6,0,-8,6,0,1,-3,0,-1
9897,-8,6,1,-1,-3,0,-12,8,-4,-2,-4,2,-7,9,0,0,-5,0,-10,6,0,-1,-4,0,-9,6,1,0,-3,-2,-10,8,1,-2,-2,1,-2
9898,-10,9,0,-2,-3,-2,-11,6,-6,0,-4,1,-7,9,0,-2,-4,0,-7,7,3,-1,-6,1,-10,7,2,-1,-5,0,-8,8,1,-1,-3,1,0
9899,-9,7,1,-2,-4,-1,-12,6,-7,0,-4,1,-8,9,0,1,-6,1,-10,7,1,-1,-4,-2,-11,8,1,1,-5,1,-10,7,2,-1,-3,-1,-2
