Time(ms),TactileRaw(16bit),GroundRef(16bit)
3585.00,-579,4
3590.00,-582,2
3595.00,-580,4
3600.00,-578,3
3605.00,-579,2
3610.00,-577,2
3615.00,-574,4
3620.00,-580,5
3625.00,-576,2
3630.00,-578,1
3635.00,-579,4
3640.00,-582,4
3645.00,-575,4
3650.00,-574,5
3655.00,-575,2
3660.00,-574,6
3665.00,-574,3
3670.00,-575,5
3675.00,-578,3
3680.00,-573,2
3685.00,-574,4
3690.00,-576,3
3695.00,-575,3
3700.00,-575,2
3705.00,-573,5
3710.00,-575,3
3715.00,-572,4
3720.00,-577,4
3725.00,-578,4
3730.00,-574,6
3735.00,-572,4
3740.00,-574,3
3745.00,-575,2
3750.00,-571,2
3755.00,-580,5
3760.00,-577,3
3765.00,-577,6
3770.00,-579,5
3775.00,-575,5
3780.00,-579,5
3785.00,-576,3
3790.00,-578,5
3795.00,-575,2
3800.00,-578,5
3805.00,-581,6
3810.00,-575,2
3815.00,-580,4
3820.00,-580,5
3825.00,-581,3
3830.00,-579,4
3835.00,-577,3
3840.00,-583,2
3845.00,-579,5
3850.00,-574,2
3855.00,-578,5
3860.00,-582,2
3865.00,-581,5
3870.00,-573,3
3875.00,-574,5
3880.00,-572,6
3885.00,-575,1
3890.00,-580,3
3895.00,-577,3
3900.00,-577,3
3905.00,-577,4
3910.00,-573,4
3915.00,-572,5
3920.00,-580,4
3925.00,-579,5
3930.00,-574,5
3935.00,-577,4
3940.00,-577,1
3945.00,-578,4
3950.00,-578,1
3955.00,-571,4
3960.00,-575,4
3965.00,-574,4
3970.00,-573,4
3975.00,-575,2
3980.00,-573,2
3985.00,-577,3
3990.00,-580,2
3995.00,-580,4
4000.00,-581,3
4005.00,-577,5
4010.00,-578,2
4015.00,-578,4
4020.00,-580,4
4025.00,-582,3
4030.00,-583,5
4035.00,-583,2
4040.00,-584,4
4045.00,-586,3
4050.00,-583,2
4055.00,-585,2
4060.00,-581,5
4065.00,-585,6
4070.00,-584,6
4075.00,-587,2
4080.00,-585,4
4085.00,-581,2
4090.00,-586,3
4095.00,-586,4
4100.00,-585,3
4105.00,-586,2
4110.00,-583,2
4115.00,-580,5
4120.00,-586,2
4125.00,-583,2
4130.00,-580,5
4135.00,-581,2
4140.00,-583,4
4145.00,-584,2
4150.00,-582,3
4155.00,-582,5
4160.00,-583,3
4165.00,-582,2
4170.00,-581,3
4175.00,-580,4
4180.00,-585,4
4185.00,-584,4
4190.00,-585,4
4195.00,-593,2
4200.00,-586,5
4205.00,-590,5
4210.00,-583,3
4215.00,-583,3
4220.00,-587,4
4225.00,-581,2
4230.00,-586,4
4235.00,-577,1
4240.00,-580,5
4245.00,-579,6
4250.00,-583,4
4255.00,-584,4
4260.00,-584,5
4265.00,-580,4
4270.00,-584,3
4275.00,-584,4
4280.00,-585,3
4285.00,-581,5
4290.00,-583,3
4295.00,-581,4
4300.00,-580,5
4305.00,-581,5
4310.00,-583,3
4315.00,-585,2
4320.00,-584,4
4325.00,-580,4
4330.00,-581,2
4335.00,-584,4
4340.00,-586,3
4345.00,-584,2
4350.00,-583,6
4355.00,-587,3
4360.00,-586,3
4365.00,-586,4
4370.00,-581,3
4375.00,-584,5
4380.00,-578,6
4385.00,-582,2
4390.00,-580,5
4395.00,-582,4
4400.00,-581,4
4405.00,-581,4
4410.00,-580,3
4415.00,-584,3
4420.00,-583,5
4425.00,-574,4
4430.00,-584,3
4435.00,-577,4
4440.00,-577,2
4445.00,-579,3
4450.00,-578,2
4455.00,-578,4
4460.00,-577,3
4465.00,-579,4
4470.00,-580,4
4475.00,-581,3
4480.00,-579,2
4485.00,-576,4
4490.00,-580,5
4495.00,-580,5
4500.00,-580,4
4505.00,-584,4
4510.00,-579,2
4515.00,-581,6
4520.00,-577,3
4525.00,-579,5
4530.00,-577,2
4535.00,-576,3
4540.00,-574,7
4545.00,-579,5
4550.00,-580,2
4555.00,-579,2
4560.00,-578,5
4565.00,-579,5
4570.00,-577,6
4575.00,-577,5
4580.00,-579,3
4585.00,-581,3
4590.00,-577,3
4595.00,-580,4
4600.00,-580,6
4605.00,-586,5
4610.00,-583,3
4615.00,-579,2
4620.00,-582,4
4625.00,-581,4
4630.00,-580,3
4635.00,-580,4
4640.00,-577,4
4645.00,-582,3
4650.00,-577,4
4655.00,-580,5
4660.00,-579,3
4665.00,-580,4
4670.00,-582,3
4675.00,-584,4
4680.00,-581,3
4685.00,-584,5
4690.00,-579,3
4695.00,-578,2
4700.00,-582,4
4705.00,-581,4
4710.00,-579,5
4715.00,-580,4
4720.00,-580,2
4725.00,-583,2
4730.00,-581,4
4735.00,-583,5
4740.00,-580,4
4745.00,-581,2
4750.00,-579,4
4755.00,-579,4
4760.00,-581,5
4765.00,-581,5
4770.00,-584,3
4775.00,-579,1
4780.00,-583,3
4785.00,-585,4
4790.00,-580,5
4795.00,-582,5
4800.00,-585,2
4805.00,-581,5
4810.00,-584,5
4815.00,-583,6
4820.00,-589,3
4825.00,-580,6
4830.00,-584,5
4835.00,-581,4
4840.00,-588,3
4845.00,-586,3
4850.00,-585,1
4855.00,-584,2
4860.00,-580,2
4865.00,-581,3
4870.00,-583,1
4875.00,-581,3
4880.00,-586,2
4885.00,-583,4
4890.00,-588,5
4895.00,-586,3
4900.00,-588,4
4905.00,-583,6
4910.00,-589,2
4915.00,-586,3
